game_name,app_id,review_text,user_score,voted_up,source,genres,price,Unnamed: 8,original_sentiment,split_type
11-11: Memories Retold,6862,"This is a family-oriented, family-oriented, and somewhat flawed look at wars away from the sounds of high explosions we see in other games, and instead presents a humane story about the impact of wars on the people and people around them. This is a brief, family-oriented, and somewhat flawed look at wars away from the sounds of high explosions we see in other games, and instead presents a humane story about the impact of wars on the people and people around them. This is a family-oriented, and somewhat flawed look at wars away from the sounds of high explosions we see in other games, and instead presents a humane story about the impact of wars on the people and people around them. This is a family-oriented, and somewhat flawed look at wars away from the sounds of high explosions we see in other games, and instead presents a humane story about the impact of wars on the people and people around them. This is a family-oriented, and somewhat flawed look at wars away from the sounds of high explosions we see in other games, and instead presents a humane story about the impact of wars on the people",10.0,True,IGN,"Casual, Adventure",29.99,735580.0,Neutral,positive
11-11: Memories Retold,6862,"It's a good game, but it's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It's not for everyone. It'",6.0,False,IGN,"Casual, Adventure",29.99,735580.0,Neutral,negative
12 Minutes,11614,"The story is everything. The story wasn't mythical, but it wasn't bad either. And finally, it can be said that it's a boring story; and that's enough.",6.0,TRUE,SaudiGamer,RPG,24.99,1097200.0,TRUE,original
13 Sentinels Aegis Rim,10110,"The combat system is presented abstractly like Google Maps, and makes the distinction between enemies and characters sometimes less clear than expected as well as there is fluctuation in enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are delayed when there are many enemies in some fights that are",4.0,FALSE,SaudiGamer,"Adventure, RPG, Simulation",,,FALSE,original
13 Sentinels Aegis Rim,10110,"This game is a comic book game in which you move between 13 characters, as well as there is a tactical battle and a page to review the scenes and open files that give you a better idea of the story and characters. What is unique about the game is that you can move between the stories of any of the characters and the free fighting within certain boundaries, which makes the presentation of the story closer to completing a gradual picture rather than a purely linear story and adds a lot to the experience. The story is the biggest element of the game, there are 13 characters that intersect their stories, and the story is ambitious not only in terms of the number of characters but also in terms of the time frames that it covers, and it is presented to a world of users who are inspired by the animation of the eighties and the evolution of the game's graphics, and the game's evolution and evolution of the characters, and it can also be a great addition to the experience.",6.0,TRUE,SaudiGamer,"Adventure, RPG, Simulation",,,TRUE,original
A Plague Tale: Innocence,7547,"The overall gameplay may not be bad, but it's very organized, and it's pretty much the same throughout the game. The game relies entirely on sneaking, but the gameplay methods adopted are very rudimentary, distract the enemy who walks the same path over and over again by throwing stones or other pieces to escape, yes, the game begins to give the player more tools as he progresses through the game, but the artificial intelligence of performance and repetition makes the same gameplay less challenging.",4.0,FALSE,SaudiGamer,"Adventure, Action",69.99,752590.0,FALSE,original
A Plague Tale: Requiem,13346,"A Plague Tale: Requiem was able to offer a much more enjoyable storytelling experience than it did in the previous installment, with Asobo Studio focusing more on the relationship between ""A Plague Tale: Requiem"" and its younger brother, and their ability to find a cure for plague, as well as emotional rewards for ""A Plague Tale"" about what plague plays, a game in which Asobo Studio is completely successful.",10.0,True,IGN,"Adventure, Action",69.99,1182900.0,Neutral,positive
A Plague Tale: Requiem,13346,A Plague Tale: A Plague Tale: Requiem is a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's a bad game. It's,7.0,False,IGN,"Adventure, Action",69.99,1182900.0,Neutral,negative
A Plague Tale: Requiem,13346,"The storyline is powerful and influential despite the fact that there are some problems with the character of Amesia that makes you attached to it, the skill tree system is very realistic, the mouse design is really scary, the numbers are huge, the music is enjoyable and the sound is spectacular.",5.0,FALSE,ArabHardware,"Adventure, Action",69.99,1182900.0,FALSE,original
A Plague Tale: Requiem,13346,"The design of the stages is boring and the game is challenging in its essence, the artificial intelligence of the soldiers is too low, there are major performance problems, and the number of game chapters is too long.",4.0,FALSE,ArabHardware,"Adventure, Action",69.99,1182900.0,FALSE,original
