game_name,app_id,review_text,user_score,voted_up,source,genres,price,review_text_original,word_count
11-11: Memories Retold,6862,"Similar to most interactive storytelling games, 11-11 Memories Retold isn't for everyone, and the game's bold artistic style may be a downside to some. But for players looking for a character-driven meditative experience, the game offers a brief, family-oriented, and somewhat flawed look at wars away from the loud explosions we see in other games, and instead presents a humane story about the impact of wars on the people and people around them.",8.0,Neutral,IGN,"Casual, Adventure",29.99,بشكل مشابه لمعظم ألعاب القصة التفاعلية، فإن 11-11 Memories Retold ليست للجميع، وقد يكون أسلوب اللعبة الفني الجريء عاملاً سلبياً للبعض. لكن بالنسبة إلى اللاعبين الذين يبحثون عن تجربة تأملية تقودها الشخصيات، فإن اللعبة توفر نظرة قصيرة وآسرة، وذات عيوب نوعاً ما، على الحروب بعيداً عن أصوات التفجيرات العالية التي نراها في الألعاب الأخرى، وتقدم بدلاً من ذلك قصة إنسانية حول تأثير الحروب على الناس والأشخاص المحيطين بهم.,73
12 Minutes,11614,"The story here is everything. The story wasn't mythical, but it wasn't bad either. And finally, it can be said that it's a boring story; and that's enough.",6.0,TRUE,SaudiGamer,RPG,24.99,يضع هذا النوع من الألعاب القصة محورًا وأساسًا وارتكازًا. القصة هنا هي كل شيء. لم تكُن القصة بالشيء الأسطوري، إلا أنها لم تكن سيئةً أيضًا. وفي الأخير، يمكن القول أنها قصةٌ غير مملة&#8211; وهذا كافٍ.,28
13 Sentinels Aegis Rim,10110,"The number of characters means that there are some slow scenes and re-enactments, and without burning anything from the story some elements of the story and the contact was unsuccessful in my opinion. The combat system is presented abstractly like Google maps, making the distinction between enemies and characters sometimes less clear than expected as well as there is a fluctuation in enemies in some fights that are delayed when there are many enemies.",4.0,FALSE,SaudiGamer,"Adventure, RPG, Simulation",,عدد الشخصيات يعني أن هناك بعض المشاهد البطيئة وإعادة لبعض الأحداث، وبدون أن أحرق أي شيء من القصة بعض عناصر القصة وماتصل إليه لم يكن موفقًا برأيي. نظام القتال مقدم بشكل تجريدي وكأنه خرائط قوقل، ويجعل تمييز الأعداء والشخصيات أحيانًا أقل وضوحًا من المأمول وكذلك هناك تذبذب في الأعداء في بعض القتالات المتأخرة عند كثرة الأعداء.,74
13 Sentinels Aegis Rim,10110,"The game is a comic book game in which you move between 13 characters, as well as there is a tactical battle and a page to review the scenes and open files that give you a better idea of the story and characters. What is unique about the game is that you can move between the stories of any of the characters and the free fighting within certain boundaries, making the presentation of the story closer to the gradual completion of the picture rather than a purely linear story and adds much to the experience. The story is the biggest element of the game, there are 13 characters that intersect their stories, and the story is ambitious not only in terms of the number of characters but also in terms of the time frames that it covers, and it is presented to a world of users who are inspired by the animation of the eighties and the evolution of the game's animation, and the evolution of the game's characters, and it adds a lot to the experience.",6.0,TRUE,SaudiGamer,"Adventure, RPG, Simulation",,"اللعبة لعبة قصص مصورة تتنقل فيها بين ١٣ شخصية، وكذلك هناك قتال تكتيكي وصفحة لمراجعة المشاهد وفتح ملفات تعطيك تصور أفضل عن القصة والشخصيات. ما يميز اللعبة هو أنك تستطيع التنقل بين قصص أي من الشخصيات وبين القتال بحرية ضمن بعض الحدود، مما يجعل عرض القصة أقرب لاكمال صورة بالتدريج بدلًا من قصة خطية بحتة ويضيف كثيرًا للتجربة. القصة هي أكبر عناصر اللعبة، فهناك ١٣ شخصية تتقاطع قصصهم، والقصة طموحة ليس فقط بعدد الشخصيات ولكن بالفترات الزمنية التي تغطيها، وبتقديمها عالم مستلهم من أنميات الثمانينات والتسعينات وتصويرها لليابان، وحتى من أفلام مثل E.T. و Men in Black وغيرها، وتشمل التنقل عبر الزمن والرجال الآليين والفضائيين وغيرهم، لكن هناك أيضًا تركيز على حياة الشخصيات اليومية، وهي قصة ستشدك وتدفعك لمعرفة المزيد. القتال التكتيكي قد لايكون التركيز عليه، لكنه فاجأني بجودته وعمقه، فهناك أهداف متنوعة في كل قتال، والتنوع يشمل الأعداء وقدرتك على تكوين الفريق المناسب وتطوير الشخصيات لتناسب القتال. ترابط القتال مع القصة وجودة نظام القتال يجعله جانب ممتاز من اللعبة. التوجه الفني رائع وهو ما تعودنا عليه من المطور <a href=""https://saudigamer.com/tag/vanillaware/"">Vanillaware</a>، فهو ثنائي الأبعاد مع لمسة أنمي، وتصميم الشخصيات متقن، ومع أداء صوتي مناسب باللغتين اليابانية والانجليزية وموسيقى جميلة يجعل هذه اللعبة متعة بصرية وسمعية.",177
A Plague Tale: Innocence,7547,"The overall gameplay may not be bad, but it's very organized, and it's pretty much the same throughout the game. The game relies entirely on sneaking, but the gameplay methods adopted are very rudimentary, distract the enemy who walks the same path over and over again by throwing stones or other pieces to escape, yes, the game begins to give the player more tools as he progresses through the game, but the artificial intelligence of performance and repetition makes the same gameplay less challenging.",4.0,FALSE,SaudiGamer,"Adventure, Action",69.99,أسلوب اللعب العام قد لا يكون سيئًا لكنه رتيب جداً، وتقريباً هو نفسه طوال اللعبة. اللعبة تعتمد بشكل كامل على التسلل، لكن أساليب اللعب المعتمدة بدائية جداً، قم بتشتيت انتباه العدو الذي يمشي بنفس المسار مراراً وتكراراً عبر رمي حجارة أو قطع أخرى لتتمكن من الهرب، نعم اللعبة تبدأ بإعطاء اللاعب المزيد من الأدوات عبر تقدمه باللعبة، لكن الذكاء الاصطناعي للأداء وتكرار نفس أسلوب اللعب يجعل اللعبة خالية من التحدي. وجود الألغاز باللعبة كان قليل وضعيف، اقتصرت على إسقاط شيء أو تحريك بعض الأمور بطريقة معينة، لم تكن هنالك صعوبة أو عمق بها، اعتقد لو أنه تم إضافة المزيد من الألغاز التي تتطلب بعض العمل على حلها كان ليضيف المزيد من التحدي ويكسر الروتين.,84
A Plague Tale: Requiem,13346,"After the emergence of A Plague Tale: Innocence and its great success, A Plague Tale: Requiem was able to offer a much more enjoyable storytelling experience than it did in the previous installment, with Asobo Studio focusing more on the relationship between ""A Plague Tale: Requiem"" and its younger brother, and their ability to find a cure for plague, as well as emotional rewards for ""A Plague Tale"" about what plague plays, a game in which ""A Plague Tale: A Plague Tale"" is completely successful.",9.0,Neutral,IGN,"Adventure, Action",69.99,"بعد الظهور القوى الذي ظهرت به لعبة A Plague Tale: Innocence والنجاح الكبير الذي حققته كان أمام أستوديو Asobo Studio رهان صعب مع إعلانه عن جزء جديد من اللعبة وهو A Plague Tale: Requiem، وهو أن يُقدم تجربة مماثلة للجزء الأول على الأقل أو التفوق عليه، وهو الأمر الذي نجح فيه Asobo تمامًا. فلعبة A Plague Tale: Requiem تَمكنت أن تُقدم تجربة قصصية ممتعة بدرجة كبيرة عما كانت في الجزء الماضي، وركزت بشكل أكبر على علاقة ""أميسيا"" وأخيها الصغير ومغامرتهم لإيجاد علاج لوبائه، مع أيضًا تأثيرات عاطفية على ""أميسيا"" حول ما يدور حولها، فلو كانت لعبة A Plague Tale: Innocence تركز على فقدان ""أميسيا"" و""هوغو"" لبراءتهما، فإن الجزء الثاني يدور حول صراعهما مع الذنب الناجم عن أفعالهما. اللعبة قَدمت أيضًا أسلوب لعب مماثل للجزء الأول والذي كان بالمناسبة جيد، مع وجود إضافات كبيرة لتقديم تنوع أكبر في أسلوب اللعب الذي كان يعتمد بدرجة كبيرة على التخفي، فهنا بإمكانك الدخول في قتالات عديدة مع وجود أسلحة وأدوات جديدة قابلة للاستخدام، مع وجود ألغاز أكثر واستخدام أكبر لقدرات ""هوغو"" الجديدة. ومن أجل إكمال وإبراز تلك اللوحة الفنية كان ولابد من ظهورها برسومات قوية تُلائم الجيل الجديد، وهو ما حدث بالفعل وكانت أفضل بكثير عما كانت بالجزء السابق، ودمج ذلك مع موسيقى مُذهلة جعلتنا نَغوص داخل أحداث اللعبة. فهذا يعني بأن لعبة A Plague Tale: Requiem قَدمت لنا تجربة ومغامرة استثنائية تَجعلها تُنافس بقوة على جائزة الأفضل خلال هذا العام.",85
A Plague Tale: Requiem,13346,"The game's storyline is powerful and influential despite the fact that there are some problems with the character of Amesia that makes you attached to it, the skill tree system is very realistic, the mouse design is really scary, the numbers are huge, the music is enjoyable and the sound is spectacular.",5.0,FALSE,ArabHardware,"Adventure, Action",69.99,قصة اللعبة قوية ومؤثرة على الرغم من وجود بعض المشاكل بها شخصية أميسيا مميزة وتجعلك تتعلق بها نظام شجرة المهارات واقعي جدًا وممتع تصميم الفئران مرعب بحق والأعداد هائلة الموسيقى ممتعة والأداء الصوتي مبهر,52
A Plague Tale: Requiem,13346,"The design of the stages is boring and the game is challenging in its essence, the artificial intelligence of the soldiers is too low, there are major performance problems, and the number of game chapters is too long.",4.0,FALSE,ArabHardware,"Adventure, Action",69.99,تصميم المراحل ممل ويطعن اللعبة في جوهرها الذكاء الاصطناعي للجنود منخفض جدًا وجود مشاكل كبيرة في الأداء عدد فصول اللعبة أطول من اللازم,38
A Quiet Place: The Road Ahead,17489,"The game's powerful storyline introduces a new addition to the world of the A Quiet Place film series with featured characters that make you feel influenced by their journey into this dead world that wants to kill you every second. Solving puzzles was characterized by new and innovative ideas and added to the horror and survival experience offered by the game, you can't face monsters face to face and you have to crawl through the hours of play, and solving puzzles here adds a new level of horror, especially when enemies are close to you. Each game relies primarily on sounds.",6.0,TRUE,SaudiGamer,"Adventure, Action, Puzzle",29.99,قصة اللعبة قوية تُقدم إضافة جديدة على عالم سلسلة أفلام A Quiet Place بشخصيات مميزة تجعلك متأثرًا برحلتها في هذا العالم الميت الذي يريد قتلك في كل ثانية حل الألغاز كان مميزًا بأفكار جديدة ومبتكرة أضاف على تجربة الرعب والبقاء التي تُقدمها اللعبة، فأنت لا يمكنك مواجهة الوحوش وجهًا لوجه ويجب عليك التسلل طوال ساعات اللعب، وحل الألغاز هنا أضاف طابقًا جديدًا من الرعب خاصةً عندما يكون الأعداء على مقربةٍ منك كلعبة تعتمد على الصوتيات بشكل أساسي، فكانت هنا أسطورية بموسيقى تصويرية مميزة واستخدام الأصوات لإضافة الرعب على البيئة، فكل خطوة تخطوها من الممكن أن تؤدي لموتك، وكل صوت تسمعه يمكن استغلاله ليشكل الفارق ما إذا كنت ستموت أو تعيش الذكاء الإصطناعي للوحوش في لعبة A Quiet Place كان مذهلاً، فرغم أن الوحش لا يستطيع رؤيتك، إلا أنه يستطيع تحديد مكانك بكل حرفية عبر سماع صوتك فقط ومواصلة ملاحقتك في كل منطقة تذهب إليها عالمًا أنك هنا بالقرب منه تريد أن تجعل اللعبة أكثر رعبًا؟ قمّ بتوصيل الميكروفون الخاص بك للعبة وستتمكن من لعب دور البطلة هنا، فأي حركة أو صوت ستقوم به في عالمنا الحقيقي سيؤثر على الشخصية في اللعبة و ستسمعها الوحوش وتقتلك سريعًا,101
A Quiet Place: The Road Ahead,17489,"The game is experiencing some technical performance problems, especially on the PC platform that we have tried and it is possible that the frames will suddenly land in areas that do not deserve to be landed where there is a noticeable difference in the graphical level and visual design of the game in general where you will find some areas that are visually stunning and other areas quite the opposite.",4.0,FALSE,SaudiGamer,"Adventure, Action, Puzzle",29.99,اللعبة تُعاني من بعض المشاكل في الأداء التقني بالأخص على منصة الحاسب الشخصي التي جربناها عليها ومن الممكن أن تهبط الإطارات فجأة في مناطق لا تستحق أن يحدث ذلك فيها يوجد تفاوت ملحوظ في المستوى الرسومي والتصميم البصري عمومًا الخاص باللعبة حيث ستجد بعض المناطق رائعة رسوميًا ومناطق أخرى عكس ذلك تمامًا. حتى التفاوت الرسومي ملحوظ بشكل أكبر في المخلوقات الفضائية التي تواجهها في اللعبة اللعبة لا تدعم اللغة العربية بأي شكل,70
A Way Out,5413,"With the exception of the heroes, the characters in the game are generally weak in terms of design, appearance and lack of interest. The conversations are very simple, sometimes feeling short and unconvincing.",4.0,FALSE,SaudiGamer,"Adventure, Action",29.99,باستثناء البطلين، الشخصيات في اللعبة ضعيفة عموما من ناحية التصميم والحضور وغير مثيرة للاهتمام. الحوارات بسيطة جدا، وأحيانا تشعر انها مختصرة وغير مقنعة. التحكم بالمركبات لم يكن متقن، تتضح عيوبه بشكل كبير في مراحل المطاردات.,33
