game_name,app_id,review_text,user_score,voted_up,source
Hollow Knight: Silksong,7425,قصة اللعبة أعمق وبها الكثير من التفاصيل الملحمية والفلسفية شخصية Hornet مرسومة بعناية فائقة ومكتوبة بطريقة بديعة أسلوب قتال متين يجعلك تشعر أنك ترقص مع الأعداء نظام التمائم يشجع على الاستكشاف بصورة كبيرة محتوى لعب يمتد لساعات طويلة جدًا سعر اللعبة رخيص للغاية تصميم عالم اللعبة به الكثير من البيئات وذات توجه فني فريد,9,True,ArabHardware
Hollow Knight: Silksong,7425,النهائية السرية تحتاج لبعض المهام الجانبية، بعضها قد يكون مملًا,4,False,ArabHardware
Ninja Gaiden 4,18722,نظام قتال عبقري ومتقن من أفضل ما قُدّم في تاريخ السلسلة تنوع كبير في الأسلحة والحركات والتحولات عمق استراتيجي مع نظام Blood Raven و Berserk Meter محتوى تحديات إضافي (Purgatory Gates و Combat Trials) مشجّع للإعادة أداء تقني سلس وصعوبة قابلة للتخصيص,8,True,ArabHardware
Ninja Gaiden 4,18722,قصة ضعيفة وشخصية رئيسية باهتة تصميم مستويات ممل ومتكرر مشاركة Ryu محدودة ومخيّبة للآمال توازن متفاوت في جودة الزعماء,4,False,ArabHardware
Battlefield 6,19051,أداء تقني مثالي أطوار تقنية متنوعة على الكونسول قصة تعطي جرعة أكشن ممتازة أطوار أونلاين منوعة وكثيرة محتوى غزير ترجمة عربية متقنة عدد ضخم من الأسلحة,9,True,ArabHardware
Battlefield 6,19051,تصميم واجهة المستخدم بدائي ومنفر القصة ضعيفة كتابيًا لا شيء جديد ثوري في الأونلاين غياب معارك البحرية غياب المناخ الديناميكي من الجزء الماضي التقدم في المستوى وتوزيع الـXP بطيء,4,False,ArabHardware
Borderlands 4,18111,محتوى قصصي رائع يأخذنا إلى عالم جديد تمامًا عالم مفتوح يتم تقديمه لأول مرة في السلسلة أسلوب تصويب ممتاز مع العديد من الإضافات قتال زعماء مُحسن وبه بُعد تكتيكي لعب جماعي ممتع ومهام عديدة متنوعة اللعبة عمومًا تقدم أفكار جديدة تمامًا على السلسلة ومعظمها كانت ممتازة,8,True,ArabHardware
Borderlands 4,18111,أداء تقني هو الأسوأ مشاكل بالجملة أثناء اللعب الجماعي تصميم عالم ضعيف,4,False,ArabHardware
EA Sports FC 26,18960,تحسينات على أسلوب اللعب و جعله أكثر واقعية. رسوميات محسنة وتفاصيل واقعية وحركة طبيعية. أطوار لعب جديدة وتجديدات ملحوظة في الاطوار القديمة. تفاعل ديناميكي ملحوظ للجمهور مع المباراة.,5,False,ArabHardware
EA Sports FC 26,18960,بعض المشاكل في الاستجابة عند تنفيذ بعض الحركات. واجهة ثقيلة الى حد ما وغير سلسة.,4,False,ArabHardware
Ghost of Yotei,18449,عالم مفتوح من بين الأفضل في صناعة الألعاب مستوى رسومي جبار معارك صعبة مصممة باحترافية وحب بيئات اليابان من بين الأجمل في هذا الجيل قصة وشخصيات ممتازة سرد مثالي وحماسي، لا تهبط وتيرته أبدًا عمر اللعبة مناسب، والمحتوى الجانبي غزير محتوى جانبي منوع نظام الاستكشاف عظيم تحسن كبير في تعابير الوجوه وتفاصيل الشخصيات عن الجزء الأول شخصية أتسو من بين أفضل شخصيات سوني الرئيسية,9,True,ArabHardware
Ghost of Yotei,18449,توزيع قائمة الأسلحة مربك تخفي محدود,4,False,ArabHardware
Dying Light: The Beast,18724,عودة أجواء الليل المرعبة كما في الجزء الأول، مع مطاردات الـ Volatiles القوية باركور مُحسَّن وأكثر واقعية وسلاسة من أي جزء سابق قصة مركزة غنية بالشخصيات الجديدة الجذابة مهام جانبية قوية بعضها يضاهي القصة الرئيسية أسلوب قتال ممتع يجمع بين الأسلحة اليدوية والنارية مع عناصر RPG وصناعة موارد تصميم عالم مفتوح أصغر لكنه مليء بالتفاصيل ويشجع على الاستكشاف معارك زعماء مميزة بأساليب متنوعة أفضل مستوى رسومي في السلسلة مع تنوع كبير في البيئات أداء تقني ممتاز ومستقر على الحاسب الشخصي دعم كامل للغة العربية بجودة عالية توفرها مجانًا لمُلاك Dying Light 2 Ultimate Edition,9,True,ArabHardware
Dying Light: The Beast,18724,غياب تقنية تتبع الأشعة عند الإطلاق (ستُضاف لاحقًا) وجود بعض المشكلات التقنية و bugs المضحكة أحيانًا بعض الأنشطة الجانبية مكررة مثل تشغيل المولدات ومحطات الطاقة,4,False,ArabHardware
