game_name,app_id,review_text,user_score,voted_up,source
Werewolf: The Apocalypse - Earthblood,10839,"بعد سنوات طويلة من سيطرة مصاصي الدماء والكائنات الخارقة الأخرى على عالم صناعة ألعاب الفيديو، جاءت أخيرًا الفرصة لتجربة اللعب بأحد الكائنات الأسطورية التي كُنا دومًا نرغب بتجربتها، ولكن حتى مع قُدوم لعبة Werewolf: The Apocalypse – Earthblood والفكرة التي كان بإمكان فريق Cyanide أن يستغلها بأفضل شكل ممكن ومدى شعبية تلك هذا الكائن الخارق، إلا وأن الأستوديو أضاع تلك الفرصة الذهبية بسذاجة كبيرة بالأخص على صعيد أسلوب اللعب الذي سيُجبرك على الشعور بالملل بعد ساعات قليلة من اللعب أو حتى على صعيد رسومات اللعبة البدائية والتي لا تُلائم الجيل الحالي أو حتى الجيل الماضي من الأجهزة المنزلية, ولكن لم يَتمكن الأستوديو سوى من تقديم قصة جيدة وموسيقى حماسية لم يكونا شفيعًا لباقي الأخطاء الساذجة التي وقع بها الأستوديو بعملية تطويره لهذا العنوان والذي كان من الممكن أن تَظهر أفضل من هذا بكثير لو أستمرت لفترة مُزامنة لسنوات تطويرها السابقة، مما جعلنا أمام تجربة لا تستحق النظر إليها حتى لو تَوفرت مجانًا.",3,Neutral,IGN
Abo Khashem,5738,للأسف لعبة أبو خشم تعد نكسة أخرى للاستوديوهات العربية في ظل محاولاتها لكي تقدم ألعاب تعكس بيئتنا العربية وتنافس عالمياً، كنت أتمنى أن أستمتع بهذه اللعبة ولكنني بدلاً من ذلك وجدت لعبة مليئة بالأخطاء التقنية وأسلوب اللعب السيء مع عالم خالي وأداء صوتي ميت، أتمنى من استوديو التطوير أن يركز في تطوير ألعاب خفيفة بالفترة القادمة ولا يحاول أن يقوم بتقديم لعبة ضخمة بإمكانيات بسيطة، وله منا كل الدعم.,9,Neutral,IGN
Tennis World Tour,6135,للأسف شعرت في لعبة Tennis World Tour أنني أقوم بمراجعة لعبة غير كاملة أو نسخة أولية من لعبة ما - وهو أمر أرفضه بالطبع - فلكي يستطيع الناشر Bigben Interactive باستغلال بطولة رولان جاروس للترويج للعبة وبيعها في هذا الوقت من العام، قام بتدمير سلسلة قبل أن تبدأ والتي كانت تبدو واعدة جداً في البداية ولكنها صدرت في أسوأ صورة لها لكي تمثل خيبة أمل جديدة لعشاق رياضة التنس والذين يتشوقون لتجربة لعبة تنس بقوة Top Spin مثلاً، ولكن يبدو أن عليهم الانتظار لمزيد من الوقت، على أية حال لا أنصح بشراء اللعبة بحالتها الحالية ولكن ننتظر في المستقبل لنرى كيف ستبدو اللعبة؟,4,Neutral,IGN
Babylon's Fall,12836,يتضح لي حقيقة كسولة ورخيصة وراء عملية تطوير Babylon Fall، فمع أنها تحمل على متنها آلية لعب لا بأس بها لكنها فرصة ضائعة ولا تستطيع إخفاء مظهرها القبيح والتصميم السيئ والتكرار الهائل ونظام مشتريات مبالغ به جداً وقصة قد تكون الأسوأ لهذا العام، عند هذه القيمة السعرية، لا يمكن اعتبارها أكثر من محاولة لاقتلاع الأموال من جيوبنا,7,Neutral,IGN
ONE PIECE World Seeker,7388,لا أعتقد أن هنالك شيء سيدفعك لشراء هذه اللعبة، القصة قصيرة وطريقة سردها ضعيفة للغاية ومملة، العالم المفتوح محدود جداً وقليل النشاطات، قد يعجبك شجرة المهارات الصغيرة لفتح حركات قتالية ممتعة وتصميم لا بأس به لعالم اللعبة وشخصياتها، مع تنوع في شخصيات الأعداء وآلية قتالهم ، لكن هذا حقاً ليس من ابتكار المطور وإنما من الانمي الأصلي، وحتى أكبر محب للانمي لا أنصحه بالاقتراب من هذه التجربة المملة والضعيفة,7,Neutral,IGN
Contra: Rogue Corps,8268,إن Contra: Rogue Corps لعبة مخيبة للأمل في كثير من النواحي، قد تجد فيها بعض المتعة في أطوار اللعب الجماعي -إن تمكنت من إيجاد أحد أونلاين- ولكنها تعاني من مشكلة جوهرية في نظامها الشامل للقتال والتطوير الممل والمعقد.,7,Neutral,IGN
NBA 2K21,9806,تعود سلسلة محاكاة رياضة كرة السلة بجزء صغير يخفي وجهه خجلاً من اللاعبين لعدم تقديمه أي شيء جديد، فلا ننصح أي لاعب يمتلك نسخة العام الماضي بشراء هذه اللعبة وهنالك أخطاء رسومية تجعلنا لا ننصح أحد بشراء اللعبة باستثناء من يريد الاستمتاع بتجربة القصة ومضت سنوات عديدة على شرائه للعبة كرة سلة,5,Neutral,IGN
Kingdoms Of Amalur: Re-Reckoning,9594,ببساطة إذا لعبت هذه اللعبة سابقًا فلا ننصحك بشرائها لأنها مجرد نقل للنسخة الأصلية دون أي تعديل للمنصات الحالية، أما بالنسبة للاعب الجديد فعليه أن يعاني مع مشاكل أكل عليها الدهر وشرب إذا أراد الاستمتاع بلعبة هي حقًا ممتازة وكانت تستحق أفضل من ذلك بكثير,5,Neutral,IGN
Mirror's Edge Catalyst,1549,للاسف، عالم Mirror's Edge: Catalyst المفتوح عالم محزن ومخيب للامل، ولولا حركات الباركور المثيره والركض المستمر لكانت الحياة في هذا الجزء المكمل للجزء الاول تكاد تكون معدومة وذلك بسبب سطحية القصة وضعف الشخصيات والرسومات التي تكاد تكون اقل من عادية,5,Neutral,IGN
Assetto Corsa,579,لعبة Assetto Corsa تعتبر مثالاً جيداً في الطموح لأن إستديو Kunos Simulazioni ليس بالأستديو الضخم ولكنه في نفس الوقت عمل قصار جهدة على إصدار لعبة محاكاة لتنافس بين العاب المحاكاة الموجودة. ولكن في نفس الوقت فشل في توصيل التجربة المتوقعه او المطلوبة لتتعلى المراتب العالية في لائحة العاب المحاكاة الموجودة,5,Neutral,IGN
