game_name,app_id,review_text,user_score,voted_up,source
Dispatch,19505,قصة اللعبة قوية جدًا، ومختلفة عن أي شيء موجود على الساحة. يمكننا تشبيهها بـGuardians of the galaxy أو Suicide Squad من حيث كونها حول فريق من الأبطال الذين كانوا أشرارًا، ولكن بطل اللعبة وهو Robert الذي يلعب دوره Aron Paul الشهير بـBreaking Bad يغير المعادلة كون دوره هو أن يصلح هذا الفريق ويصنع منهم أبطالًا خارقين صالحين عالم اللعبة مميز، وتشعر بأنه يمتلك الكثير من الإمكانيات لألعاب من أنواع أخرى أو على الأقل مواسم كثيرة قادمة من Dispatch، ويميزه خفة الظل والجدية في الوقت نفسه. بداية اللعبة ظلامية بشكل كبير ولكن مع مرور الوقت تظهر لحظات ومشاهد كوميدية ستجعلك تضحك كثيرًا الـMini Games ممتازة وتوصف بأنها &#8220;متعوب عليها&#8221; بالكثير من آليات اللعب وشجرة مهارات وحتى الاختراق (Hacking) تم تقديمه بشكل ممتاز وصعب جدًا يتحداك في أحلك اللحظات، وقد يتسبب في فشل مهمتك. خياراتك مؤثرة على الأحداث وبعضها خيارات غير متوقعة وأصغرها قد يتسبب في شيء كبير لاحقًا. التصميم البصري للعبة جميل ،ويشبه مزيجًا من مسلسلات الأنيميشن والمجلات المصورة وهو أجمل شيء في اللعبة بدون منازع الإخراج أسطوري، بعض المشاهد صممت بشكل سينمائي لا يوصف من شدة جماله. استغلال الإضاءة والموسيقى في بعض مشاهد القصة وخصوصًا مقدمات وخاتمات الحلقات أسطوري ويوصل شعور الحلقة بشكل مثالي. هناك حلقات تبدأ بشعور بالأمل، وتنتهي بشعور اليأس أو الحزن والسعادة أو الضياع والإصرار على تحقيق الهدف، وهي جميعًا مشاعر متضادة نجح الإخراج الأسطوري في توصيلها بشكل رائع، إذا كنت من محبي السينما ستحب هذه اللعبة بشكل كبير وستقدر هذه التفاصيل الصغيرة,6,True,SaudiGamer
Dispatch,19505,اللعبة مجردة بشكل شبه كامل من أي مظهر من مظاهر أسلوب اللعب، واعتمادها الكامل على المقاطع السينمائية في خطوة للوراء حتى مقارنةً بألعاب Telltale التي كانت تتيح بعض الاستكشاف الذي يفتح جمل حوارية جديدة في بعض الأحيان. نعم اللعبة قصصية وهذا هو أسلوبها، لكن تجربة Dispatch تميل أكثر من أي لعبة قصصية أخرى إلى المسلسل التلفزيوني بعض الخيارات المهمة لا تؤثر على القصة بالشكل المطلوب، وبعض القرارات الأكثر أهمية في القصة يتم تقديمها بشكل مفاجئ بدون تمهيد وبالتالي يكون القرار غير مبني على حقائق أو مواقف ملموسة وإنما مجرد &#8220;شهور&#8221; بأن هذا الشخص خائن أو ذلك الشخص رائع! تكرار الـMini Game الأساسية في اللعبة مزعج، وهي الـDispatch والتي تحاول اللعبة تقديم آليات لعب إضافية مع مررو الوقت ونظام ترقيات للأبطال، ولكنها تقتل تسارع الأحداث في بعض الأحيان. عدم دعم اللغة العربية يجعل من تجربتها كابوسًا لكل من لا يتقن الإنجليزية,4,False,SaudiGamer
Kirby Air Riders,19310,الرسوم زاهية وحتى صاخبة أحيانًا، فجميع ألوان الطيف موجودة وبعض المؤثرات ستخطف بصرك. اللعبة تحاكي توجه السلسلة الفني وحتى بعض لحظاتها المفاجئة، وتقديم القوائم جذاب ومستلهم من سلسلة Smash. التحكم مبسط وإن كان هناك عمق لابأس به لمن يتوغل، فالحركة تلقائية وتستخدم فقط زرين والعصا اليسار. زر B يستخدم للفرملة وأيضًا للانطلاق لذا يفضل استخدامه عند المنعطفات، وكذلك لبلع خصائص الأعداء واستخدامها، بينما تلتف وترفع مقدمة المركبة وتنزلها عند التحليق بالعصا، بالإضافة إلى استخدامها للدوران لمهاجمة الخصوم، ويبقى زر Y لتفعيل حركة خارقة عند امتلاء عداد. هناك 3 أطوار تنافسية يمكن لعبها محليًا أو عبر الشبكة، إثنان منها سباقات تقليدية أحدهما من زاوية خلفية تقليدية وحلبات يغلب عليها الخيال والسرعة الخارقة ليميزها، بينما الطور الآخر من زاوية علوية وشبيه بألعاب Micro Machines مع استخدام الأسلحة في كلا الطورين. الطور التنافسي الذي يميز اللعبة هو طور City Trials وينقسم لمرحلتين في الأولى تدور في عالم مفتوح لوقت محدد تختار فيه مركبتك وتجمع المواد لتحسين خصائصك وتشارك بفعاليات وكذلك تهاجم اللاعبين الآخرين. بعدها تصوتون على واحد من بين أربعة أطوار منقاة عشوائيًا، منها قتال أكبر عدد من الأعداء أو سباق خطي أو التحليق لأبعد مسافة أو إصابة هدف بالطيران تجاهه وغيرها. ما فعلته في المرحلة الأولى يؤثر على الثانية فتطوير دفاع مركبتك يساعدك في لعبة مصغرة عبارة عن قتال وهكذا. أخيرًا هناك طور قصة عبارة عن تحديات مختلفة تختار من بينها على التوالي مع قليل جدًا من القصة، ومع الصور والألقاب وزينات المركبات التي تجمعها يجعلها تجربة متكاملة بدلًا من مجموعة ألعاب مجمعة.,6,True,SaudiGamer
Kirby Air Riders,19310,عدد الحلبات قليل نسبيًا في أطوار السباق والألعاب المصغرة بسيطة بينما طور القصة رتيب نوعًا ما. عمر اللعبة يعتمد بالأساس على اعجابك بطور City Trials.,4,False,SaudiGamer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,17685,<br /><strong>العالم المصمّم</strong> حول منطقة العزل يقدم تجربة غامرة بكل معنى الكلمة، إذ يجمع بين الرعب النفسي والأجواء الكئيبة والبيئات المنهكة التي تُشعر اللاعب بأن كل خطوة قد تكون الأخيرة. التفاصيل البصرية المحيطة بالخراب تعزز الإحساس بالعزلة والخطر الدائم. <strong>التحسينات التقنية</strong> في نسخة PS5 واضحة منذ اللحظة الأولى، فالأداء أكثر استقرارًا، ومعدلات الأخطاء أقل بكثير من النسخة الأصلية، مما يسمح بالانغماس في التجربة دون الانشغال بالمشكلات التقنية التي أفسدت الإطلاق الأول. <strong>أسلوب إطلاق النار</strong> يحتفظ بهويته الثقيلة والمؤثرة، فكل سلاح يمتلك بصمته الخاصة، وكل مواجهة مع البشر تحتاج تركيزًا وتخطيطًا، مما يمنح الاشتباكات طابعًا واقعيًا ومكافئًا لمن يتقن التحكم.<br />الأنوماليات والمخلوقات تلعب دورًا محوريًا في التجربة، فهي ليست مجرد تهديدات عابرة بل عناصر ثابتة تغير طريقة الحركة داخل العالم. وجودها الدائم يجعل الاستكشاف ممتلئًا بالتوتر ويمنح كل منطقة شخصية خاصة وتحديات فريدة. <strong>المهام الجانبية</strong> تُعد من أقوى عناصر اللعبة، فهي مكتوبة بعناية وتقدّم قصصًا صغيرة تكشف خفايا المنطقة وصراعات الفصائل وتعقيدات الحياة داخل هذا المكان الملعون. بعضها يقدم لحظات أقوى من أحداث القصة الرئيسية. <strong>الضخامة الهائلة للخريطة</strong> تمنح مساحة واسعة للغوص في عالم اللعبة، مع عدد كبير من المواقع المخفية والغنائم القيمة والبيئات المتنوعة التي تكافئ اللاعب على فضوله، مما يجعل التجول بحد ذاته جزءًا ممتعًا من التجربة. <strong>التصميم الصوتي</strong> يرفع مستوى التوتر بشكل ملحوظ، فالأصوات الخافتة والصرخات البعيدة والهمسات القادمة من المجهول تبث شعورًا حقيقيًا بأن الخطر يتربص دائمًا، بينما ترافقك موسيقى ناعمة تزيد الإحساس بالعزلة والانغماس.,6,True,SaudiGamer
S.T.A.L.K.E.R. 2: Heart of Chornobyl,17685,<strong>التوازن بين الواقعية وصعوبة اللعب</strong> يختل في مواقف كثيرة، فالأعداء يمتلكون دقة مبالغًا فيها وقدرة غير منطقية على كشف موقعك، مما يحوّل بعض الاشتباكات إلى مواجهات ظالمة أكثر من كونها تحديًا محسوبًا. <strong>نظام الحمل يقيّد الحركة بشكل مزعج</strong>، فالوزن المسموح به منخفض إلى حد يعرقل الاستكشاف ويجبر اللاعب على تكرار الرحلات الطويلة نحو الصناديق بدل التركيز على المهمات، الأمر الذي يكسر الإيقاع ويقتل المتعة. <strong>الذكاء الاصطناعي للفصائل غير ثابت</strong>، فقد تتصرف الشخصيات بعدوانية في لحظة وتتجاهل ما حدث في اللحظة التالية، كما أن تأثير اختياراتك على علاقاتك معهم محدود للغاية، مما يقلّل من الشعور بأن العالم يستجيب لقراراتك. <strong>القرارات المصيرية</strong> في المهمات تبدو في ظاهرها مؤثرة، لكنها في الأغلب تنتهي بنتائج موحدة لا تعكس حجم الخيارات التي تتخذها، الأمر الذي يجعل مسار القصة يشعر أحيانًا بأنه خطّي رغم محاولات إعطاء اللاعب مساحة للتأثير. <strong>العالم الواسع</strong> يحتوي على مساحات كبيرة فارغة لا تقدم مكافآت كافية، فتكرار التجول في مناطق بلا أحداث أو تفاعلات يضعف الحافز على الاستكشاف بعد فترة من اللعب. <strong>غياب التوازن في تصميم المواجهات</strong> يظهر بشكل واضح في الأماكن الضيقة، إذ يجد اللاعب نفسه محاصرًا بعدة أعداء في مساحة صغيرة دون فرص حقيقية للمناورة، وهو ما يدفع إلى إعادة التحميل بدل محاولة إيجاد حلول ذكية. <strong>رغم التحسينات،</strong> ما تزال المشكلات التقنية تظهر من حين لآخر مثل التصاق الأعداء بالجدران، أو سلوكيات متقطعة في المهام، أو عناصر بيئية تختفي فجأة، وهي مشكلات لا تُفسد التجربة بالكامل لكنها تُبقي اللعبة خطوة خلف المستوى الذي تطمح إليه.,4,False,SaudiGamer
Call of Duty: Black Ops 7,19132,N/A,N/A,N/A,SaudiGamer
ARC Raiders,19023,N/A,N/A,N/A,SaudiGamer
Virtua Fighter 5 R.E.V.O.,18076,طور ال World Stage هو مماثل لطور ال Quest  المحبوب في الجزء الرابع، بل يتفوق عليه في بعض الأمور مثل كمية الأزياء التي تحصل عليها عند فوزك في التحديّات ومستوى الذكاء الإصطناعي الذي يرتفع باستمرار كل ما لعبت أكثر نظام اللعب والذي حافظ على رونقه رغم عمره، فهو يمتاز بأنه بسيط وعميق بنفس للوقت ويحمل شخصيات تناسب أساليب لعب مختلفة مثل المصارع، أو لاعب الكراتيه والتايكوندو وجميعهم يحملو تحريكات وضربات واقعية تشعرك وكأنك تتفرج قتال UFC وهذا الذي يميز السلسلة عن غيرها وحتى الآن أجدها من أقوى ألعاب القتال من حيث اللعب في سوق ألعاب القتال طور الأونلاين سلس وخالٍ من تقطيع أو مشاكل ال Lag وأجد أنها تحمل أفضل تطبيق لنظام ال rollback  وكانت من أفضل تجارب اللعب عبر الشبكة في أي لعبة قتال وجود كم هائل من الأزياء لتخصيص الشخصيات وأشكالها بالطريقة التي تريدها، كما أنها توجد أزياء من لعبة Tekken 7 وسلسلة Yakuza  مما أضاف عنصر ممتع لهذا الجانب,6,True,SaudiGamer
Virtua Fighter 5 R.E.V.O.,18076,يُعد هذا الإصدار الخامس المُعاد من Virtua Fighter 5، ومع ذلك أخفق في إضافة طور يمكنه جذب جمهور أوسع، مثل طور قصة أو طور تدريب متكامل، يساعد اللاعبين الجدد خارج دائرة محبي Virtua Fighter على الدخول إلى اللعبة. تصاميم الشخصيات بدائية وسطحية جداً، مثل أن البطل هو مجرد لاعب كراتيه يرتدي زي أبيض مجرد من أي شيء يميزه ويجعله معروف أكثر، باستثناء بعض الشخصيات مثل Goh و Venessa. حصر بعض الأشياء التي كانت مجانية في الإصدارات السابقة خلف محتوى إضافي قابل للشراء حركة جشعة ولا تعني أي شيء باستثناء الاستفادة من حماس اللاعبين لعودة اللعبة العريقة ودفع مبالغ مثل 10 و 20 دولار على حزم ازياء وموسيقى، وهذه سياسة سيجا في إصداراتها مؤخراً.,4,False,SaudiGamer
